IATA_CODE,AIRPORT,CITY,STATE,COUNTRY
SUX,Sioux Gateway Airport,Sioux City,IA,USA
SWF,Stewart International Airport,Newburgh,NY,USA
SYR,Syracuse Hancock International Airport,Syracuse,NY,USA
TLH,Tallahassee International Airport,Tallahassee,FL,USA
TOL,Toledo Express Airport,Toledo,OH,USA
TPA,Tampa International Airport,Tampa,FL,USA
TRI,Tri-Cities Regional Airport,Bristol,TN,USA
TTN,Trenton Mercer Airport,Trenton,NJ,USA
TUL,Tulsa International Airport,Tulsa,OK,USA
TUS,Tucson International Airport,Tucson,AZ,USA
TVC,Cherry Capital Airport,Traverse City,MI,USA
TWF,Magic Valley Regional AirportÂ (Joslin Field),Twin Falls,ID,USA
TXK,Texarkana Regional AirportÂ (Webb Field),Texarkana,AR,USA
TYR,Tyler Pounds Regional Airport,Tyler,TX,USA
TYS,McGhee Tyson Airport,Knoxville,TN,USA
UST,Northeast Florida Regional AirportÂ (St. Augustine Airport),St. Augustine,FL,USA
VEL,Valdez Airport,Vernal,UT,USA
VLD,Valdosta Regional Airport,Valdosta,GA,USA
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,USA
WRG,Wrangell Airport,Wrangell,AK,USA
WYS,Westerly State Airport,West Yellowstone,MT,USA
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,USA
YAK,Yakutat Airport,Yakutat,AK,USA
YUM,Yuma International Airport,Yuma,AZ,USA
